scan_id,document_type,hs_code,hs_description,hs_category,hs_restricted,invoice_value,invoice_value_usd,invoice_number,container_id,importer,exporter,net_weight,gross_weight,carton_count,vessel_name,port_of_origin,confidence_badge,missing_field_count,scanned_at,operator_id,jalur,jalur_label
8ec677e2-fe10-4219-86c4-98b1d8705a82,packing_list,8542.31.00,Integrated circuits / processors,Electronics,False,"USD 110,541.22",110541.22,BL-2025-2318,KKFU2161564,PT Mitsubishi Motors Krama Yudha,Lenovo Group Limited,4854.19 KG,,167,MV Mataram Star,"Yokohama, Japan",low,0,2026-01-06T06:47:00,CDP-002,yellow,1
de726422-a995-4ab7-9bc5-9624c9219802,bill_of_lading,1006.30.00,Semi-milled or wholly milled rice,Food,False,"USD 31,363.28",31363.28,BL-2025-2586,OOLU9028348,PT Schneider Electric Manufacturing,Exxon Mobil Corporation,18951.79 KG,21529.94 KG,448,MV Maersk Seletar,"Yokohama, Japan",high,0,2026-01-13T11:52:00,CDP-002,green,0
8398e138-9659-43d2-b571-64c79d22f38a,packing_list,0901.11.00,Coffee not roasted not decaffeinated,Food,False,"USD 40,631.24",40631.24,PO-2025-3679,,PT Schneider Electric Manufacturing,,2386.31 KG,2554.19 KG,112,MV OOCL Indonesia,Singapore,high,2,2026-01-31T11:55:00,CDP-002,green,0
b103dc55-4c5e-4197-854f-4b20cade5902,packing_list,,Printing machines,Electronics,False,"USD 1,005.66",1005.66,SO-2025-8382,CMAU5923349,PT Astra Honda Motor,Unilever N.V.,2514.52 KG,2813.58 KG,259,MV Jaya Kencana,"Shanghai, China",medium,1,2026-05-31T10:33:00,CDP-002,green,0
f1340996-1aa9-4e04-9bc0-267fd6be6f5c,packing_list,8477.10.00,Injection moulding machines,Machinery,False,"USD 329,231.10",329231.1,SI-2026-7368,YMLU8820299,PT Suzuki Indomobil Motor,Bayer AG,8017.34 KG,9573.81 KG,457,MV CMA CGM Coral,"Tianjin, China",medium,0,2026-06-04T21:45:00,CDP-003,green,0
b55ff336-70be-4e3f-995a-4aa794768f29,bill_of_lading,8471.30.00,Laptops / portable computers,Electronics,False,"USD 80,647.35",80647.35,SI-2025-6705,YMLU9475785,PT Krakatau Steel,Bayer AG,3364.97 KG,4048.03 KG,459,MV CMA CGM Coral,"Tianjin, China",high,0,2026-02-19T21:43:00,CDP-002,green,0
56bef706-45c2-4493-91c7-ad7a06abeffb,commercial_invoice,8517.12.00,Smartphones and mobile phones,Electronics,False,"USD 51,767.01",51767.01,INV-2025-6314,EVGR3652894,PT Toyota Motor Manufacturing Indonesia,Royal Dutch Shell plc,4406.05 KG,4894.85 KG,354,MV Sinar Bandung,"Bangkok, Thailand",medium,0,2026-02-16T18:52:00,CDP-003,green,0
91f1733e-3922-49a7-b703-46bae14206ba,packing_list,8457.10.00,Machining centres for working metal,Machinery,False,"USD 421,032.26",421032.26,INV-2026-2636,MSCU1305353,CV Mandiri Jaya,Bridgestone Corporation,2362.87 KG,2560.25 KG,96,MV Hapag Jakarta Express,"Port Klang, Malaysia",medium,0,2026-05-14T13:30:00,CDP-002,green,0
6e58f6fc-b170-43ba-83c5-a6b9318de144,commercial_invoice,3004.90.00,Pharmaceutical preparations,Pharma,False,"USD 22,597.50",22597.5,SO-2025-9363,OOLU3442764,PT Beiersdorf Indonesia,Lenovo Group Limited,1556.4 KG,1759.26 KG,44,MV Mataram Star,"Shenzhen, China",medium,0,2026-04-09T07:46:00,CDP-003,green,0
c9dc540d-10ce-440f-9529-9058c11df694,packing_list,6204.62.00,Womens trousers of cotton,Textiles,False,"USD 13,328.59",13328.59,INV-2026-8705,APHU7021621,,,2536.74 KG,2923.77 KG,251,MV Evergreen Universe,"Guangzhou, China",medium,2,2026-05-10T12:09:00,CDP-001,yellow,1
e33c9f9a-7910-48c9-bcbd-5c01cf1d2965,commercial_invoice,3004.90.00,Pharmaceutical preparations,Pharma,False,"USD 172,804.40",172804.4,CI-2026-2252,TCKU1653555,PT Delta Dunia Makmur,,5616.49 KG,6319.31 KG,244,MV Wan Hai 232,"Rotterdam, Netherlands",low,1,2026-03-21T19:01:00,CDP-003,green,0
13267c78-7352-47cb-9992-4b355396f6b8,packing_list,8477.10.00,Injection moulding machines,Machinery,False,"USD 185,780.66",185780.66,INV-2025-5298,TCKU7708449,PT Cipta Karya Unggul,Toray Industries Inc.,4477.88 KG,4786.44 KG,325,MV CMA CGM Coral,"Long Beach, USA",high,0,2026-01-13T11:10:00,CDP-003,green,0
